city,variable,period,n,mean,median,std,cv,iqr,p10,p25,p50,p75,p90,skewness,kurtosis,min,max
Baixa_Grande_do_Ribeiro,pr,1961-1990,30,1197.455,1157.775,227.964,19.037,231.023,945.491,1059.097,1157.775,1290.120,1420.295,1.360,2.972,834.420,1937.430
Baixa_Grande_do_Ribeiro,pr,1981-2010,30,1120.746,1117.285,221.930,19.802,227.725,894.646,975.803,1117.285,1203.527,1282.870,1.733,5.353,800.510,1937.430
Baixa_Grande_do_Ribeiro,pr,1991-2020,30,1054.918,1016.680,153.881,14.587,221.450,860.851,963.825,1016.680,1185.275,1275.311,0.053,-0.763,756.140,1324.230
Baixa_Grande_do_Ribeiro,ETo,1961-1990,30,1492.180,1491.770,73.542,4.928,137.002,1405.288,1421.325,1491.770,1558.327,1578.711,0.156,-0.931,1380.760,1655.520
Baixa_Grande_do_Ribeiro,ETo,1981-2010,30,1537.977,1529.775,64.367,4.185,77.812,1467.177,1500.553,1529.775,1578.365,1605.675,0.175,0.480,1407.750,1697.210
Baixa_Grande_do_Ribeiro,ETo,1991-2020,30,1560.632,1565.065,56.887,3.645,85.747,1485.479,1517.600,1565.065,1603.347,1616.145,0.224,-0.356,1459.950,1697.210
Baixa_Grande_do_Ribeiro,Tmax,1961-1990,30,31.538,31.616,0.739,2.343,0.802,30.933,31.237,31.616,32.040,32.260,-1.232,2.484,29.248,32.672
Baixa_Grande_do_Ribeiro,Tmax,1981-2010,30,32.232,32.162,0.681,2.114,0.883,31.614,31.831,32.162,32.714,33.074,-0.240,0.561,30.434,33.582
Baixa_Grande_do_Ribeiro,Tmax,1991-2020,30,32.709,32.771,0.647,1.978,0.954,31.915,32.131,32.771,33.086,33.511,0.256,-0.833,31.793,34.113
Baixa_Grande_do_Ribeiro,Tmin,1961-1990,30,19.752,19.986,0.815,4.124,1.397,18.662,18.896,19.986,20.293,20.493,-0.122,-0.725,18.311,21.455
Baixa_Grande_do_Ribeiro,Tmin,1981-2010,30,20.368,20.335,0.335,1.642,0.267,19.983,20.245,20.335,20.512,20.872,0.080,0.397,19.618,21.075
Baixa_Grande_do_Ribeiro,Tmin,1991-2020,30,20.592,20.506,0.443,2.153,0.623,20.106,20.318,20.506,20.942,21.111,0.032,-0.230,19.618,21.468
Baixa_Grande_do_Ribeiro,RH,1961-1990,30,70.814,70.681,3.364,4.751,4.795,66.188,69.043,70.681,73.838,74.584,-0.422,-0.547,63.484,75.990
Baixa_Grande_do_Ribeiro,RH,1981-2010,30,67.724,67.518,2.976,4.395,4.448,64.234,65.111,67.518,69.559,71.347,0.171,-0.562,62.494,74.546
Baixa_Grande_do_Ribeiro,RH,1991-2020,30,66.611,66.336,2.702,4.056,3.428,63.060,64.851,66.336,68.279,70.225,0.245,-0.564,61.782,71.883
Baixa_Grande_do_Ribeiro,Rs,1961-1990,30,19.053,19.090,0.496,2.606,0.532,18.583,18.802,19.090,19.334,19.622,-0.746,1.347,17.717,19.983
Baixa_Grande_do_Ribeiro,Rs,1981-2010,30,19.114,19.163,0.638,3.340,0.643,18.195,18.796,19.163,19.439,19.908,-0.289,0.089,17.717,20.431
Baixa_Grande_do_Ribeiro,Rs,1991-2020,30,19.427,19.520,0.532,2.740,0.612,18.800,19.179,19.520,19.791,19.932,-0.847,0.881,18.042,20.431
Baixa_Grande_do_Ribeiro,u2,1961-1990,30,0.989,1.053,0.354,35.736,0.688,0.492,0.617,1.053,1.305,1.352,-0.413,-1.412,0.389,1.468
Baixa_Grande_do_Ribeiro,u2,1981-2010,30,1.038,1.014,0.150,14.459,0.131,0.891,0.953,1.014,1.085,1.238,1.126,1.525,0.808,1.468
Baixa_Grande_do_Ribeiro,u2,1991-2020,30,0.962,0.963,0.087,9.006,0.089,0.829,0.926,0.963,1.015,1.042,0.058,0.460,0.806,1.178
Balsas,pr,1961-1990,30,1254.709,1211.720,221.850,17.681,203.890,1048.493,1124.010,1211.720,1327.900,1417.747,1.915,5.989,960.680,2089.360
Balsas,pr,1981-2010,30,1214.433,1188.900,262.152,21.586,284.408,968.141,1025.432,1188.900,1309.840,1522.143,1.352,2.939,829.400,2089.360
Balsas,pr,1991-2020,30,1186.044,1198.220,215.565,18.175,274.583,949.059,1018.945,1198.220,1293.528,1480.495,0.173,-0.462,784.280,1633.990
Balsas,ETo,1961-1990,30,1458.674,1469.110,54.806,3.757,85.778,1385.677,1411.015,1469.110,1496.793,1520.560,-0.003,-0.948,1373.980,1572.040
Balsas,ETo,1981-2010,30,1488.162,1493.355,47.073,3.163,59.300,1439.522,1452.983,1493.355,1512.283,1538.957,-0.296,0.343,1376.830,1585.230
Balsas,ETo,1991-2020,30,1521.990,1513.585,56.978,3.744,67.172,1443.605,1486.053,1513.585,1553.225,1600.585,0.286,-0.898,1440.470,1634.700
Balsas,Tmax,1961-1990,30,31.934,31.989,0.591,1.850,0.619,31.317,31.670,31.989,32.289,32.569,-0.901,0.948,30.435,32.861
Balsas,Tmax,1981-2010,30,32.502,32.399,0.751,2.312,0.867,31.672,32.061,32.399,32.928,33.686,0.079,-0.408,30.828,33.791
Balsas,Tmax,1991-2020,30,33.175,33.168,0.847,2.554,1.378,32.063,32.365,33.168,33.743,34.072,0.088,-0.756,31.736,34.979
Balsas,Tmin,1961-1990,30,20.476,20.695,1.113,5.437,2.104,18.964,19.286,20.695,21.390,21.601,-0.136,-1.237,18.788,22.401
Balsas,Tmin,1981-2010,30,21.541,21.477,0.412,1.911,0.528,21.041,21.267,21.477,21.795,22.000,0.493,0.063,20.847,22.493
Balsas,Tmin,1991-2020,30,21.726,21.713,0.595,2.740,0.583,20.994,21.379,21.713,21.963,22.521,0.361,-0.422,20.711,23.004
Balsas,RH,1961-1990,30,73.578,73.646,2.550,3.466,3.468,69.612,72.308,73.646,75.776,76.526,-0.340,-0.453,68.044,78.341
Balsas,RH,1981-2010,30,71.480,71.818,2.492,3.486,4.061,68.465,69.551,71.818,73.612,74.160,-0.111,-1.069,67.107,76.090
Balsas,RH,1991-2020,30,70.124,70.031,2.693,3.840,4.094,67.076,68.266,70.031,72.360,73.703,0.113,-0.914,65.243,75.339
Balsas,Rs,1961-1990,30,18.712,18.665,0.607,3.242,0.864,17.986,18.320,18.665,19.184,19.465,-0.367,-0.393,17.341,19.692
Balsas,Rs,1981-2010,30,18.516,18.562,0.571,3.085,0.581,17.738,18.284,18.562,18.866,19.176,-0.439,0.091,17.290,19.622
Balsas,Rs,1991-2020,30,18.888,18.949,0.561,2.968,0.671,18.239,18.672,18.949,19.344,19.529,-1.049,1.131,17.290,19.622
Balsas,u2,1961-1990,30,0.904,1.043,0.338,37.406,0.656,0.421,0.518,1.043,1.174,1.246,-0.595,-1.302,0.319,1.338
Balsas,u2,1981-2010,30,0.968,0.932,0.147,15.219,0.187,0.813,0.857,0.932,1.044,1.163,0.843,0.123,0.761,1.338
Balsas,u2,1991-2020,30,0.899,0.873,0.085,9.505,0.107,0.813,0.837,0.873,0.944,1.023,0.822,0.099,0.761,1.118
Barreiras,pr,1961-1990,30,1049.468,1018.230,247.036,23.539,311.862,739.341,897.780,1018.230,1209.642,1397.437,0.084,-0.566,582.020,1548.240
Barreiras,pr,1981-2010,30,1003.051,1012.100,236.560,23.584,253.560,650.271,868.413,1012.100,1121.972,1330.657,-0.060,-0.794,582.020,1396.360
Barreiras,pr,1991-2020,30,991.047,983.735,216.325,21.828,267.220,690.491,862.010,983.735,1129.230,1297.149,0.056,-0.819,624.560,1395.040
Barreiras,ETo,1961-1990,30,1528.867,1514.945,63.107,4.128,88.493,1461.389,1487.617,1514.945,1576.110,1593.531,0.390,-0.050,1405.010,1673.260
Barreiras,ETo,1981-2010,30,1592.128,1586.800,75.819,4.762,74.830,1507.494,1555.215,1586.800,1630.045,1670.380,0.222,1.145,1435.240,1798.510
Barreiras,ETo,1991-2020,30,1638.584,1629.980,76.570,4.673,112.408,1557.711,1585.530,1629.980,1697.938,1728.274,-0.263,0.413,1435.240,1798.510
Barreiras,Tmax,1961-1990,30,31.043,31.205,0.953,3.071,0.911,30.388,30.660,31.205,31.571,31.971,-2.281,8.594,27.181,32.288
Barreiras,Tmax,1981-2010,30,31.643,31.712,0.672,2.122,0.800,30.846,31.271,31.712,32.071,32.285,-0.158,0.146,30.234,33.081
Barreiras,Tmax,1991-2020,30,31.978,32.039,0.687,2.150,0.864,31.159,31.565,32.039,32.429,32.832,-0.117,-0.394,30.408,33.156
Barreiras,Tmin,1961-1990,30,17.616,17.536,0.817,4.635,0.938,16.824,17.124,17.536,18.063,18.593,0.973,1.536,16.040,19.983
Barreiras,Tmin,1981-2010,30,18.203,18.218,0.576,3.166,0.606,17.559,17.878,18.218,18.484,18.782,0.673,2.073,17.108,19.983
Barreiras,Tmin,1991-2020,30,18.504,18.460,0.420,2.269,0.570,17.993,18.198,18.460,18.768,19.038,0.301,-0.729,17.839,19.423
Barreiras,RH,1961-1990,30,67.170,67.142,2.243,3.339,2.892,64.613,65.765,67.142,68.657,69.694,0.090,-0.122,62.877,71.845
Barreiras,RH,1981-2010,30,63.970,64.516,2.976,4.652,3.535,60.525,62.458,64.516,65.992,67.577,-0.662,0.974,55.523,69.577
Barreiras,RH,1991-2020,30,62.928,62.825,2.834,4.503,3.372,59.520,61.302,62.825,64.673,66.044,-0.242,0.777,55.523,69.125
Barreiras,Rs,1961-1990,30,19.536,19.530,0.669,3.423,1.199,18.738,18.947,19.530,20.147,20.411,0.061,-1.053,18.474,20.800
Barreiras,Rs,1981-2010,30,20.062,20.200,0.660,3.291,0.627,19.347,19.858,20.200,20.486,20.577,-0.930,1.905,18.112,21.436
Barreiras,Rs,1991-2020,30,20.394,20.428,0.684,3.354,0.670,19.942,20.050,20.428,20.721,21.208,-1.333,3.560,18.112,21.436
Barreiras,u2,1961-1990,30,1.159,1.144,0.174,15.030,0.195,0.967,1.045,1.144,1.240,1.414,1.011,0.741,0.937,1.608
Barreiras,u2,1981-2010,30,1.145,1.116,0.122,10.607,0.162,1.033,1.071,1.116,1.234,1.273,1.014,1.569,0.937,1.509
Barreiras,u2,1991-2020,30,1.195,1.161,0.108,9.026,0.163,1.092,1.107,1.161,1.271,1.305,0.860,0.839,1.020,1.509
Bom_Jesus,pr,1961-1990,30,954.523,970.000,244.954,25.662,260.607,656.822,814.423,970.000,1075.030,1246.214,0.356,0.178,536.250,1518.720
Bom_Jesus,pr,1981-2010,30,907.372,910.275,206.230,22.728,252.600,662.617,764.690,910.275,1017.290,1091.088,0.733,1.554,545.960,1518.720
Bom_Jesus,pr,1991-2020,30,884.233,909.505,163.419,18.481,243.498,665.299,751.252,909.505,994.750,1052.594,0.215,-0.008,585.540,1300.070
Bom_Jesus,ETo,1961-1990,30,1622.362,1607.830,107.405,6.620,184.172,1488.557,1522.495,1607.830,1706.668,1763.704,0.051,-1.235,1448.340,1815.100
Bom_Jesus,ETo,1981-2010,30,1714.028,1715.480,91.584,5.343,138.515,1603.425,1644.387,1715.480,1782.902,1816.867,-0.306,-0.528,1519.810,1883.780
Bom_Jesus,ETo,1991-2020,30,1773.845,1779.920,103.158,5.815,127.327,1618.720,1708.398,1779.920,1835.725,1890.744,0.064,-0.382,1573.770,1974.930
Bom_Jesus,Tmax,1961-1990,30,32.624,32.647,1.122,3.439,1.003,31.574,32.267,32.647,33.270,33.793,-1.426,3.846,28.815,34.444
Bom_Jesus,Tmax,1981-2010,30,33.589,33.566,1.039,3.093,1.159,32.259,33.024,33.566,34.183,35.003,0.276,-0.144,31.617,35.915
Bom_Jesus,Tmax,1991-2020,30,34.058,34.122,0.855,2.509,0.919,32.980,33.598,34.122,34.517,35.084,-0.211,0.488,32.006,35.915
Bom_Jesus,Tmin,1961-1990,30,20.285,20.280,1.038,5.118,1.501,19.053,19.435,20.280,20.936,21.493,0.394,-0.267,18.525,22.878
Bom_Jesus,Tmin,1981-2010,30,20.504,20.605,0.624,3.046,0.893,19.667,20.062,20.605,20.955,21.214,-0.189,-0.846,19.362,21.612
Bom_Jesus,Tmin,1991-2020,30,20.772,20.809,0.777,3.742,0.903,19.593,20.346,20.809,21.249,21.913,-0.260,-0.558,19.362,22.025
Bom_Jesus,RH,1961-1990,30,65.946,66.130,2.859,4.336,3.153,62.742,64.270,66.130,67.423,69.537,-0.300,0.293,59.550,71.350
Bom_Jesus,RH,1981-2010,30,62.836,63.065,3.976,6.328,6.029,57.210,59.763,63.065,65.792,67.245,-0.172,-0.322,55.061,71.350
Bom_Jesus,RH,1991-2020,30,60.144,60.159,5.150,8.563,8.034,54.462,55.845,60.159,63.879,66.094,-0.271,-0.793,50.175,68.556
Bom_Jesus,Rs,1961-1990,30,19.662,19.706,0.573,2.914,0.669,19.008,19.213,19.706,19.882,20.472,0.061,-0.103,18.428,20.850
Bom_Jesus,Rs,1981-2010,30,19.930,19.858,0.629,3.154,0.693,19.094,19.691,19.858,20.383,20.743,-0.255,0.191,18.428,21.143
Bom_Jesus,Rs,1991-2020,30,20.309,20.434,0.637,3.135,0.969,19.670,19.858,20.434,20.827,21.144,-0.422,-0.238,18.774,21.296
Bom_Jesus,u2,1961-1990,30,1.208,1.320,0.346,28.635,0.622,0.731,0.895,1.320,1.517,1.570,-0.287,-1.630,0.669,1.657
Bom_Jesus,u2,1981-2010,30,1.329,1.320,0.181,13.649,0.241,1.091,1.216,1.320,1.457,1.569,-0.110,-0.565,0.961,1.657
Bom_Jesus,u2,1991-2020,30,1.333,1.333,0.142,10.648,0.163,1.152,1.248,1.333,1.411,1.508,-0.089,-0.503,1.041,1.591
Campos_Lindos,pr,1961-1990,30,1338.441,1317.490,220.003,16.437,246.310,1101.592,1207.710,1317.490,1454.020,1550.162,1.565,5.347,1006.030,2150.690
Campos_Lindos,pr,1981-2010,30,1351.859,1323.895,244.568,18.091,222.928,1099.342,1207.710,1323.895,1430.638,1629.432,1.311,2.714,1006.030,2150.690
Campos_Lindos,pr,1991-2020,30,1345.286,1323.895,187.468,13.935,217.353,1144.411,1213.285,1323.895,1430.638,1625.208,0.655,-0.057,1044.570,1773.840
Campos_Lindos,ETo,1961-1990,30,1435.874,1437.140,43.261,3.013,51.548,1383.428,1410.210,1437.140,1461.758,1489.516,0.088,-0.043,1346.770,1530.460
Campos_Lindos,ETo,1981-2010,30,1461.034,1466.165,47.908,3.279,59.643,1413.281,1427.942,1466.165,1487.585,1514.971,-0.208,0.857,1346.770,1573.380
Campos_Lindos,ETo,1991-2020,30,1487.377,1485.900,45.829,3.081,60.490,1426.359,1458.300,1485.900,1518.790,1542.801,0.120,-0.674,1410.050,1575.880
Campos_Lindos,Tmax,1961-1990,30,31.539,31.640,0.633,2.007,0.706,30.758,31.209,31.640,31.914,32.288,-0.991,1.665,29.594,32.439
Campos_Lindos,Tmax,1981-2010,30,32.171,32.055,0.648,2.015,0.802,31.484,31.794,32.055,32.596,33.090,0.010,-0.094,30.687,33.445
Campos_Lindos,Tmax,1991-2020,30,32.579,32.606,0.542,1.664,0.939,31.808,32.049,32.606,32.988,33.217,-0.098,-1.062,31.706,33.557
Campos_Lindos,Tmin,1961-1990,30,20.021,20.387,1.025,5.118,1.687,18.476,19.005,20.387,20.692,21.093,-0.247,-0.920,18.393,22.131
Campos_Lindos,Tmin,1981-2010,30,20.963,20.948,0.329,1.569,0.419,20.625,20.733,20.948,21.152,21.363,0.152,-0.275,20.365,21.710
Campos_Lindos,Tmin,1991-2020,30,21.120,21.146,0.264,1.252,0.332,20.761,20.938,21.146,21.270,21.447,0.312,-0.161,20.688,21.710
Campos_Lindos,RH,1961-1990,30,74.471,74.424,2.238,3.005,2.922,71.529,73.370,74.424,76.293,77.178,-0.234,-0.403,69.633,78.924
Campos_Lindos,RH,1981-2010,30,72.879,73.029,2.203,3.022,2.247,69.592,71.757,73.029,74.004,74.981,-0.353,0.581,67.598,77.418
Campos_Lindos,RH,1991-2020,30,71.115,71.827,2.800,3.937,4.499,67.547,69.021,71.827,73.520,74.294,-0.473,-0.963,65.450,74.966
Campos_Lindos,Rs,1961-1990,30,18.582,18.583,0.607,3.267,0.873,17.961,18.106,18.583,18.978,19.424,-0.292,-0.522,17.323,19.587
Campos_Lindos,Rs,1981-2010,30,18.430,18.540,0.555,3.010,0.592,17.661,18.156,18.540,18.748,19.089,-0.451,0.139,17.276,19.525
Campos_Lindos,Rs,1991-2020,30,18.786,18.794,0.522,2.781,0.583,18.235,18.597,18.794,19.180,19.354,-1.100,1.403,17.276,19.525
Campos_Lindos,u2,1961-1990,30,0.929,1.027,0.279,29.981,0.522,0.535,0.622,1.027,1.145,1.219,-0.472,-1.276,0.455,1.342
Campos_Lindos,u2,1981-2010,30,0.966,0.953,0.157,16.258,0.247,0.767,0.818,0.953,1.065,1.137,0.446,-0.423,0.754,1.342
Campos_Lindos,u2,1991-2020,30,0.891,0.870,0.105,11.831,0.108,0.767,0.812,0.870,0.920,1.069,0.854,-0.060,0.754,1.116
