dia_ciclo,Kc,ETc_media,SW_media,SW_q05,SW_q95,I_media,I_q05,I_q25,I_q50,I_q75,I_q95,I_std,Prob_irrig
1,0.4,1.5519748031496092,119.22487082802954,117.85039370078741,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.4,1.6031968503937004,118.50785925574718,115.65984251968504,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.4,1.5146330708661426,117.98504666654985,113.71496062992126,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.4,1.5411653543307073,117.65992721859347,111.95433070866143,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.4,1.4984188976377937,117.68345059848723,110.13228346456694,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.4,1.6000031496063005,117.24769485498778,109.1963122586605,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.4,1.6066771653543275,116.90855518090143,108.92789272335403,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.4,1.5546362204724402,116.7365411109557,109.72646115774731,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.4,1.5465291338582656,116.58243204308916,108.3643231415129,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.4,1.4854803149606277,116.3899500220237,106.89030739348141,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.4,1.5094740157480286,116.19565878259007,107.94173228346457,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.4,1.4944881889763746,116.67205314930581,107.85984251968503,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.4,1.448752755905514,116.51090964469003,106.26299212598424,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.4,1.4809354330708673,116.59355471831776,107.54688770077641,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.4,1.432129133858265,116.94743297887806,108.4110633201399,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8,2.847962204724409,116.3498406851139,105.91414845308404,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.8,2.897996850393705,115.66471361204827,102.2291090830053,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.8,2.8536944881889763,114.71859392460567,98.67092655396284,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.8,2.911099212598422,114.49983584358097,95.22151285778452,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.8,2.8542677165354298,113.6983513040896,98.43165201978465,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.8,2.985618897637797,112.99310683040278,94.5418882402571,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.8,2.9107716535433097,112.0022182220494,90.93873863395788,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.8,2.887433070866143,111.83219337056279,88.79465541599012,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.8,2.7723779527559067,111.6312838294915,90.5199185660434,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.8,2.9379590551181027,111.50358701545572,88.93457835795523,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.8,3.0657889763779496,111.02743230660587,86.14500947395466,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.8,2.958431496062996,110.73215740236057,83.85076247011533,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.8,2.717921259842516,111.08576101325295,81.60479750968966,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.8,3.0134614173228336,110.39779990757951,82.44632406716092,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.8,2.8252787401574784,109.54643903504794,79.23010359471996,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.15,4.19624133858267,107.85360358933694,75.7434990408297,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.15,4.096888582677154,107.6892226686082,85.72407723561906,120.0,0.9366144811408826,0.0,0.0,0.0,0.0,0.0,7.86023097022894,0.014
33,1.15,4.257336220472439,106.98662426800631,86.61863814635866,120.0,0.8462391923504755,0.0,0.0,0.0,0.0,0.0,7.6785812568791405,0.012
34,1.15,4.368578346456694,105.81263622825833,81.08596098100433,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.15,4.394829133858253,103.57972513278568,75.45068515255288,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.15,4.213427952755901,101.96164000289326,76.77292975167785,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.15,4.363516535433065,101.38300483009492,73.6212457727659,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.15,4.186706299212584,102.76649714012734,73.8922417443226,120.0,1.6259585107832455,0.0,0.0,0.0,0.0,0.0,10.368805968098021,0.024
39,1.15,4.301479921259839,102.29832024536645,72.90772174761005,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.15,4.332910236220466,100.53288925994794,68.3520774333886,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.15,4.2933574803149535,100.86916197006819,74.49669025563217,120.0,0.5567424089773435,0.0,0.0,0.0,0.0,0.0,6.199621087960365,0.008
42,1.15,4.1676362204724295,103.15729405277153,82.35328626674287,120.0,0.9752970941332612,0.0,0.0,0.0,0.0,0.0,8.184862159233933,0.014
43,1.15,4.232615748031483,103.06648656574022,76.23202642422319,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.15,4.2115444881889665,103.08939716772595,78.86172394974882,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.15,4.206835826771644,104.95909246536431,75.27865284330376,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1.15,4.277230314960621,104.90621312376403,70.30945392534119,120.0,0.9556498576083251,0.0,0.0,0.0,0.0,0.0,8.019979146935633,0.014
47,1.15,4.370814960629916,103.77355789934373,65.60079250801836,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1.15,4.294652362204718,102.72014904412192,66.99760317358862,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1.15,4.257689370078736,102.7329892347401,72.55024221964248,120.0,1.5175212069637942,0.0,0.0,0.0,0.0,0.0,10.117957618390507,0.022
50,1.15,4.106188188976364,102.84953187658301,72.77420428994122,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1.15,4.168460236220467,103.68877697945564,73.25699577354693,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1.15,4.250155511811025,103.3420510123975,75.73008037662248,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1.15,4.248507480314952,103.29035189563211,73.12287264361667,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.15,4.079584251968496,103.81877892851911,69.58018201887872,120.0,1.3975706161062273,0.0,0.0,0.0,0.0,0.0,9.782994312743567,0.02
55,1.15,4.081703149606292,104.70909914236987,65.353581305034,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1.15,4.382586614173217,104.2129399950352,76.0769611746887,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.15,4.390826771653534,103.01491639286117,70.99944235233792,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1.15,4.385529527559055,101.70593616495023,71.72883559390587,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1.15,4.403304724409437,103.24156662822608,72.36246143433635,120.0,1.5453880573863314,0.0,0.0,0.0,0.0,0.0,10.303757731258372,0.022
60,1.15,4.365399999999995,102.73117031491023,68.40760689408329,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1.15,4.309013779527559,102.04490046374906,71.8535691877439,120.0,0.6960095134844948,0.0,0.0,0.0,0.0,0.0,6.925207220237615,0.01
62,1.15,4.212015354330701,100.83724287141668,66.01046109622973,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1.15,4.140914566929129,100.02751759014787,62.29539164499336,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1.15,4.251450393700788,99.56849183601037,60.04853102038281,120.0,0.27169790568530977,0.0,0.0,0.0,0.0,0.0,4.287320636072387,0.004
65,1.15,4.386588976377954,102.02839739547346,63.48012644275056,120.0,3.238104629561763,0.0,0.0,0.0,0.0,0.0,14.42214287135812,0.048
66,1.15,4.213427952755899,102.44980026272341,70.16467496345594,120.0,1.4009996933730853,0.0,0.0,0.0,0.0,0.0,9.806997853611687,0.02
67,1.15,4.155982283464559,104.20212660984544,70.49962113192912,120.0,2.662652795098964,0.0,0.0,0.0,0.0,0.0,13.044502188915814,0.04
68,1.15,4.237324409448819,103.39771470429845,74.88174258406234,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1.15,4.267812992125986,103.05410655037763,76.08377615610488,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1.15,4.272168503937,102.02488390686916,73.09851533458979,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.8,2.924938582677165,103.01070743492163,75.9722081391184,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.8,2.998803149606298,103.43507224727249,72.63280634035249,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.8,2.9361574803149604,103.74605595992857,70.99269800204688,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.8,2.9221543307086635,105.24183292405289,71.11384879496342,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.8,3.020749606299209,104.99155632629467,70.63506738943471,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.8,2.8137322834645637,104.93784694519333,72.96772743318431,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.8,2.882110236220472,106.65334575921284,71.12436582176855,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.8,2.865896062992125,106.90368231675858,75.12319769698196,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.8,2.949423622047241,107.71543947959691,75.02485170197167,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.8,2.9509795275590536,108.69257423217702,74.30963770924708,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,0.8,2.8545133858267686,108.81374129246863,79.97954104006605,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.8,2.992088188976373,110.90138021106544,84.67261336845296,120.0,1.8953871600220025,0.0,0.0,0.0,0.0,0.0,11.167569924473108,0.028
83,0.8,2.9576944881889777,111.12534530205984,84.02639949594,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.8,3.0866708661417346,110.81552061806471,80.25947036208173,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.8,3.0090393700787423,110.38442097138248,76.57443099200299,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.5,1.856236220472439,110.70558469107453,74.32246248806598,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.5,1.8879173228346438,111.0245833470947,71.63545461405023,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.5,1.8138070866141693,111.17268205861286,82.81768072424512,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.5,1.8478937007874017,111.45395154474117,80.94595326366627,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.5,1.8775787401574795,111.53428039057195,82.49564028073189,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
